epoch,loss,val loss,accuracy,val_accuracy,precision,val_precision,recall,val_recall,f1,val_f1
64,0.000838,0.000896,0.6055,0.578962,0.714714,0.666863,0.793551,0.724,0.730151,0.668902
65,0.000834,0.000962,0.5925,0.531557,0.678155,0.608977,0.740784,0.698579,0.683604,0.62933
66,0.000877,0.000925,0.568,0.519916,0.687972,0.671449,0.737012,0.612091,0.687113,0.615369
67,0.000875,0.000898,0.584,0.568303,0.715345,0.675466,0.751829,0.690849,0.70735,0.656358
68,0.000867,0.00089,0.5955,0.580926,0.707127,0.681241,0.76175,0.706661,0.708496,0.666951
69,0.000799,0.000874,0.6335,0.596914,0.73524,0.668211,0.790418,0.752813,0.741429,0.688428
70,0.000767,0.000935,0.6615,0.543197,0.756343,0.668959,0.814601,0.659931,0.769747,0.635402
71,0.000833,0.000908,0.648,0.549509,0.756539,0.719679,0.804069,0.623607,0.755563,0.642808
72,0.000684,0.001029,0.718,0.521739,0.799688,0.576026,0.811252,0.728093,0.788544,0.612867
73,0.000721,0.000896,0.6795,0.567742,0.787801,0.705097,0.811016,0.656092,0.77722,0.653882
74,0.000708,0.00123,0.6935,0.407994,0.772055,0.519089,0.833811,0.538067,0.782692,0.483211
75,0.000767,0.000828,0.6655,0.63941,0.778565,0.708529,0.805495,0.774116,0.768386,0.719258
76,0.00077,0.001043,0.6555,0.500561,0.77656,0.632921,0.801054,0.61715,0.766,0.589054
77,0.000766,0.000852,0.6735,0.593127,0.790103,0.733229,0.800956,0.683812,0.774498,0.687947
78,0.000742,0.00085,0.676,0.642496,0.777901,0.70141,0.815446,0.793183,0.775492,0.72488
79,0.000757,0.000794,0.685,0.6892,0.80077,0.750224,0.82099,0.801836,0.791527,0.760365
80,0.000668,0.000923,0.717,0.541795,0.804107,0.713806,0.82778,0.614689,0.799807,0.630562
81,0.000764,0.000831,0.665,0.628471,0.783781,0.762947,0.791528,0.704801,0.767402,0.709523
82,0.000707,0.000786,0.706,0.662132,0.815075,0.755935,0.821159,0.763189,0.801008,0.741065
83,0.00072,0.000803,0.712,0.679102,0.824057,0.720515,0.820855,0.835641,0.80339,0.757804
84,0.000655,0.000788,0.717,0.65568,0.803794,0.773287,0.817837,0.733048,0.795164,0.732357
85,0.00076,0.00078,0.6855,0.639271,0.802492,0.784328,0.808361,0.69659,0.787443,0.721101
86,0.000631,0.00077,0.7505,0.681346,0.839728,0.729276,0.855061,0.826928,0.83133,0.758906
87,0.000722,0.000755,0.697,0.683309,0.824891,0.763339,0.801807,0.785764,0.791736,0.758771
88,0.000637,0.000755,0.7305,0.719213,0.836426,0.77898,0.85323,0.822854,0.826907,0.782648
89,0.000628,0.000773,0.772,0.66718,0.856109,0.787747,0.866466,0.733583,0.849473,0.740227
90,0.000597,0.000747,0.783,0.662833,0.863766,0.820627,0.879682,0.7115,0.859214,0.742362
91,0.000664,0.000809,0.7425,0.637588,0.83595,0.789877,0.854782,0.690672,0.830275,0.716608
92,0.0007,0.00097,0.7305,0.547405,0.825988,0.676051,0.837234,0.643488,0.818047,0.626755
93,0.000705,0.000756,0.731,0.681767,0.841097,0.793547,0.848781,0.749965,0.827601,0.754658
94,0.000628,0.00078,0.745,0.646003,0.837561,0.819434,0.843418,0.687534,0.822856,0.729061
95,0.000682,0.000799,0.714,0.653015,0.813214,0.766458,0.807123,0.735461,0.793309,0.733658
96,0.000642,0.000699,0.75,0.725245,0.85052,0.805116,0.853523,0.798866,0.835072,0.787433
97,0.000602,0.000736,0.77,0.710378,0.850798,0.791735,0.869474,0.792441,0.845821,0.774915
98,0.000626,0.000716,0.758,0.717951,0.848494,0.786985,0.846428,0.812497,0.833508,0.785556
99,0.000667,0.000742,0.731,0.685834,0.847117,0.806192,0.829603,0.748557,0.819554,0.758549
100,0.000654,0.000715,0.7495,0.718232,0.841174,0.789639,0.849553,0.81169,0.832991,0.787187
101,0.000563,0.000749,0.7885,0.702243,0.821877,0.792844,0.849474,0.779793,0.822094,0.770603
102,0.000627,0.000696,0.767,0.734642,0.866601,0.812459,0.848873,0.810081,0.842369,0.796579
103,0.000551,0.000824,0.822,0.649228,0.898758,0.79047,0.89924,0.704955,0.888051,0.721599
104,0.000598,0.000715,0.7975,0.698317,0.890813,0.815856,0.8642,0.758245,0.864575,0.769723
105,0.000696,0.000809,0.7055,0.620617,0.804865,0.734775,0.809696,0.728715,0.791025,0.714669
106,0.000601,0.000871,0.7855,0.652454,0.874787,0.693481,0.852184,0.813175,0.849559,0.726252
107,0.000566,0.000717,0.791,0.723421,0.888607,0.83009,0.867752,0.780092,0.865707,0.786107
108,0.000563,0.000796,0.8065,0.66718,0.897637,0.79449,0.884392,0.72927,0.881545,0.74272
109,0.000556,0.000692,0.821,0.737447,0.89197,0.809376,0.893252,0.824172,0.882924,0.801848
110,0.000574,0.000796,0.8045,0.677279,0.884994,0.772875,0.884242,0.763609,0.87412,0.747054
111,0.000589,0.000696,0.806,0.726086,0.883908,0.824265,0.876097,0.786468,0.869159,0.789578
112,0.000557,0.000689,0.8045,0.742075,0.891208,0.820937,0.883549,0.808001,0.874452,0.801005
113,0.000542,0.000713,0.8065,0.720757,0.85298,0.828631,0.854559,0.77679,0.841191,0.784687
114,0.000567,0.000717,0.809,0.721738,0.893309,0.835201,0.885542,0.777041,0.879996,0.79039
115,0.000539,0.000666,0.807,0.7446,0.877125,0.832359,0.87846,0.806449,0.864821,0.806174
116,0.000596,0.000677,0.7585,0.752313,0.83792,0.84204,0.825928,0.806596,0.815615,0.808514
117,0.000535,0.000693,0.8075,0.725385,0.881016,0.822246,0.874839,0.792307,0.864344,0.791918
118,0.000523,0.000699,0.8215,0.723001,0.892194,0.823588,0.879601,0.784282,0.872082,0.78868
119,0.000588,0.000671,0.7985,0.767741,0.886494,0.830819,0.879781,0.838062,0.872545,0.820608
120,0.000475,0.000696,0.8565,0.734081,0.914573,0.827125,0.911885,0.793352,0.901621,0.793449
121,0.000539,0.000667,0.836,0.769845,0.915823,0.831591,0.898936,0.838737,0.896385,0.820783
122,0.000556,0.000666,0.8055,0.750911,0.883224,0.842679,0.87271,0.803679,0.867709,0.810167
123,0.000502,0.00068,0.834,0.742356,0.912772,0.845112,0.903383,0.79119,0.897031,0.800879
124,0.000504,0.000692,0.859,0.74474,0.925742,0.840022,0.915611,0.798045,0.913656,0.800561
125,0.000518,0.000676,0.834,0.745722,0.911581,0.821642,0.890544,0.817921,0.887116,0.805842
126,0.000503,0.000685,0.8105,0.734361,0.876508,0.825777,0.855635,0.795377,0.852043,0.795532
127,0.000576,0.000673,0.8105,0.771668,0.910629,0.816059,0.870375,0.866811,0.880346,0.827404
128,0.000486,0.000731,0.865,0.719915,0.927926,0.831885,0.923083,0.773803,0.917152,0.783363
129,0.000456,0.000651,0.8775,0.760168,0.91395,0.850576,0.918558,0.808312,0.909713,0.815708
130,0.000515,0.000676,0.8415,0.724824,0.913752,0.853367,0.892748,0.758403,0.893857,0.786663
